Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),vpdmin (hPa),vpdmax (hPa)
CCNB,-120.4770,38.0558,431,2010,1205.45,8.4,15.4,22.4,2.13,21.66
CCNB,-120.4770,38.0558,431,2011,742.36,8.0,15.2,22.4,2.26,21.90
CCNB,-120.4770,38.0558,431,2012,864.80,8.8,16.3,23.9,3.15,24.99
CCNB,-120.4770,38.0558,431,2013,233.22,8.0,16.2,24.3,2.93,25.22
CCNB,-120.4770,38.0558,431,2014,656.26,9.6,17.3,25.0,3.37,25.93
CCNB,-120.4770,38.0558,431,2015,576.60,8.8,16.7,24.7,2.57,25.78
CCNB,-120.4770,38.0558,431,2016,911.70,8.9,16.6,24.3,2.76,25.40
CCNB,-120.4770,38.0558,431,2017,1167.99,9.6,16.9,24.1,3.99,24.88
CCNB,-120.4770,38.0558,431,2018,735.64,9.2,16.7,24.2,3.57,24.57
CCNB,-120.4770,38.0558,431,2019,1127.58,9.1,16.2,23.3,2.92,23.38
CCNB,-120.4770,38.0558,431,2020,442.59,9.7,17.2,24.7,4.06,26.69
CCNB,-120.4770,38.0558,431,2021,712.09,9.3,16.9,24.4,3.62,26.84
CCNB,-120.4770,38.0558,431,2022,532.51,9.1,16.9,24.7,3.80,27.82
CCNB,-120.4770,38.0558,431,2023,992.49,9.1,15.9,22.8,2.72,22.29
CCNB,-120.4770,38.0558,431,2024,821.88,10.3,17.0,23.7,3.80,24.02
,,,,,,,,,,
CFSR,-119.7932,38.4040,1927,2010,1822.77,0.1,7.6,15.1,2.46,14.85
CFSR,-119.7932,38.4040,1927,2011,1276.08,-0.2,7.5,15.3,2.57,16.82
CFSR,-119.7932,38.4040,1927,2012,1311.73,1.4,9.2,17.0,3.20,17.81
CFSR,-119.7932,38.4040,1927,2013,464.70,0.1,8.4,16.7,3.06,18.06
CFSR,-119.7932,38.4040,1927,2014,1014.30,1.8,9.7,17.6,3.26,17.90
CFSR,-119.7932,38.4040,1927,2015,1027.52,1.5,9.3,17.1,3.07,17.08
CFSR,-119.7932,38.4040,1927,2016,1465.43,1.3,9.0,16.7,3.24,17.10
CFSR,-119.7932,38.4040,1927,2017,2276.56,1.1,8.6,16.2,2.83,16.26
CFSR,-119.7932,38.4040,1927,2018,1152.33,0.8,8.8,16.7,3.16,17.26
CFSR,-119.7932,38.4040,1927,2019,1757.06,0.0,7.5,15.1,2.57,16.79
CFSR,-119.7932,38.4040,1927,2020,718.37,0.4,8.9,17.4,3.27,18.54
CFSR,-119.7932,38.4040,1927,2021,1310.45,1.5,9.2,16.9,2.93,17.52
CFSR,-119.7932,38.4040,1927,2022,896.81,1.1,8.7,16.2,3.02,16.78
CFSR,-119.7932,38.4040,1927,2023,1694.51,0.2,7.2,14.2,1.89,13.76
CFSR,-119.7932,38.4040,1927,2024,1305.71,1.3,8.8,16.4,2.42,16.26
,,,,,,,,,,
ARN,-119.7978,38.4058,1909,2010,1817.64,0.1,7.6,15.1,2.36,14.86
ARN,-119.7978,38.4058,1909,2011,1261.53,-0.4,7.5,15.4,2.44,16.80
ARN,-119.7978,38.4058,1909,2012,1304.06,1.4,9.2,17.1,3.11,17.86
ARN,-119.7978,38.4058,1909,2013,463.67,0.0,8.4,16.8,2.95,18.10
ARN,-119.7978,38.4058,1909,2014,1012.18,1.7,9.7,17.7,3.15,17.90
ARN,-119.7978,38.4058,1909,2015,1018.43,1.4,9.3,17.2,3.00,17.16
ARN,-119.7978,38.4058,1909,2016,1445.55,1.3,9.1,16.8,3.18,17.09
ARN,-119.7978,38.4058,1909,2017,2256.73,1.0,8.6,16.2,2.78,16.21
ARN,-119.7978,38.4058,1909,2018,1140.13,0.7,8.8,16.8,3.07,17.32
ARN,-119.7978,38.4058,1909,2019,1742.04,0.0,7.6,15.2,2.54,16.88
ARN,-119.7978,38.4058,1909,2020,712.81,0.5,9.0,17.5,3.24,18.79
ARN,-119.7978,38.4058,1909,2021,1307.56,1.6,9.3,17.1,2.91,17.72
ARN,-119.7978,38.4058,1909,2022,887.84,1.1,8.7,16.3,2.92,16.82
ARN,-119.7978,38.4058,1909,2023,1678.40,0.2,7.2,14.3,1.86,13.86
ARN,-119.7978,38.4058,1909,2024,1303.65,1.3,8.9,16.4,2.41,16.31
,,,,,,,,,,
CRP,-120.4378,38.5669,1224,2010,1656.71,4.6,11.7,18.8,2.08,17.20
CRP,-120.4378,38.5669,1224,2011,1177.78,3.9,11.2,18.6,2.06,17.58
CRP,-120.4378,38.5669,1224,2012,1455.67,4.5,12.4,20.2,2.51,20.06
CRP,-120.4378,38.5669,1224,2013,444.73,4.1,12.1,20.2,2.62,20.00
CRP,-120.4378,38.5669,1224,2014,1083.92,5.5,13.2,20.9,2.90,20.40
CRP,-120.4378,38.5669,1224,2015,936.50,5.2,12.9,20.6,2.76,19.95
CRP,-120.4378,38.5669,1224,2016,1563.13,4.7,12.3,19.9,2.75,19.29
CRP,-120.4378,38.5669,1224,2017,2106.86,5.1,12.5,19.9,3.00,19.57
CRP,-120.4378,38.5669,1224,2018,1095.19,4.9,12.6,20.3,3.16,19.83
CRP,-120.4378,38.5669,1224,2019,1711.52,4.5,11.6,18.8,2.24,17.19
CRP,-120.4378,38.5669,1224,2020,726.28,5.5,13.3,20.9,3.13,21.09
CRP,-120.4378,38.5669,1224,2021,1188.08,5.8,13.1,20.4,3.64,20.98
CRP,-120.4378,38.5669,1224,2022,951.38,5.9,13.0,20.2,3.82,20.38
CRP,-120.4378,38.5669,1224,2023,1514.28,5.4,11.8,18.2,2.40,16.10
CRP,-120.4378,38.5669,1224,2024,1137.14,5.5,12.5,19.4,2.02,18.28
,,,,,,,,,,
CAT,-120.3104,38.5994,1726,2010,1722.86,3.0,9.6,16.1,2.24,14.69
CAT,-120.3104,38.5994,1726,2011,1196.01,2.9,9.5,16.1,2.26,15.42
CAT,-120.3104,38.5994,1726,2012,1405.64,3.9,10.7,17.6,2.93,17.28
CAT,-120.3104,38.5994,1726,2013,466.84,3.6,10.6,17.7,3.21,17.87
CAT,-120.3104,38.5994,1726,2014,1063.10,4.9,11.6,18.4,3.47,17.54
CAT,-120.3104,38.5994,1726,2015,950.38,4.6,11.3,18.0,3.41,16.94
CAT,-120.3104,38.5994,1726,2016,1500.89,4.2,10.8,17.4,3.39,16.52
CAT,-120.3104,38.5994,1726,2017,2130.34,4.2,10.8,17.3,3.30,16.73
CAT,-120.3104,38.5994,1726,2018,1086.38,4.3,11.0,17.7,3.69,17.00
CAT,-120.3104,38.5994,1726,2019,1729.23,3.3,9.6,15.9,2.67,14.05
CAT,-120.3104,38.5994,1726,2020,710.95,4.4,11.2,18.0,3.38,17.67
CAT,-120.3104,38.5994,1726,2021,1338.28,5.3,11.5,17.8,3.72,17.78
CAT,-120.3104,38.5994,1726,2022,1080.97,5.2,11.3,17.3,3.99,17.09
CAT,-120.3104,38.5994,1726,2023,1923.53,4.5,9.8,15.1,2.59,13.34
CAT,-120.3104,38.5994,1726,2024,1272.00,5.8,10.9,16.0,3.40,14.64
,,,,,,,,,,
SIAR,-120.2014,38.6949,1723,2010,1622.54,2.3,9.2,16.2,2.28,14.82
SIAR,-120.2014,38.6949,1723,2011,1100.83,2.6,9.3,16.1,2.44,15.42
SIAR,-120.2014,38.6949,1723,2012,1201.34,3.2,10.4,17.6,2.91,17.28
SIAR,-120.2014,38.6949,1723,2013,446.19,2.1,9.8,17.6,2.97,17.87
SIAR,-120.2014,38.6949,1723,2014,982.93,3.7,10.9,18.2,3.26,17.39
SIAR,-120.2014,38.6949,1723,2015,865.09,3.2,10.5,17.7,3.37,16.66
SIAR,-120.2014,38.6949,1723,2016,1268.35,2.7,9.9,17.1,3.20,16.25
SIAR,-120.2014,38.6949,1723,2017,1941.11,2.8,9.7,16.7,3.02,15.96
SIAR,-120.2014,38.6949,1723,2018,949.70,2.6,10.0,17.5,3.40,17.00
SIAR,-120.2014,38.6949,1723,2019,1548.12,1.8,8.7,15.5,2.74,14.30
SIAR,-120.2014,38.6949,1723,2020,631.95,2.8,10.3,17.9,3.18,17.50
SIAR,-120.2014,38.6949,1723,2021,1298.76,2.9,10.2,17.6,2.94,17.78
SIAR,-120.2014,38.6949,1723,2022,1092.23,3.7,10.3,17.0,3.69,16.87
SIAR,-120.2014,38.6949,1723,2023,1870.79,3.3,9.3,15.3,2.55,14.11
SIAR,-120.2014,38.6949,1723,2024,1306.27,4.2,10.4,16.5,2.99,15.71
,,,,,,,,,,
LYN,-120.2559,38.8137,2029,2010,1572.27,2.0,7.7,13.3,2.39,12.33
LYN,-120.2559,38.8137,2029,2011,1099.11,1.9,7.6,13.4,2.26,12.42
LYN,-120.2559,38.8137,2029,2012,1211.49,3.1,9.0,14.8,2.81,13.96
LYN,-120.2559,38.8137,2029,2013,459.62,2.9,8.9,15.0,3.17,14.57
LYN,-120.2559,38.8137,2029,2014,1043.04,4.1,9.8,15.5,3.61,14.13
LYN,-120.2559,38.8137,2029,2015,839.05,3.8,9.6,15.3,3.47,13.68
LYN,-120.2559,38.8137,2029,2016,1398.77,3.5,9.1,14.7,3.26,13.51
LYN,-120.2559,38.8137,2029,2017,1986.91,3.4,8.9,14.4,3.18,13.36
LYN,-120.2559,38.8137,2029,2018,968.52,3.6,9.3,15.0,3.62,13.97
LYN,-120.2559,38.8137,2029,2019,1592.11,2.3,7.8,13.2,2.73,11.37
LYN,-120.2559,38.8137,2029,2020,670.07,3.7,9.5,15.3,3.78,14.57
LYN,-120.2559,38.8137,2029,2021,1421.61,4.1,9.2,14.3,3.89,13.91
LYN,-120.2559,38.8137,2029,2022,1329.92,3.7,8.8,13.9,4.17,13.48
LYN,-120.2559,38.8137,2029,2023,2070.72,2.3,7.2,12.1,2.69,11.12
LYN,-120.2559,38.8137,2029,2024,1490.17,3.2,8.3,13.3,3.57,12.57
,,,,,,,,,,
TRAV,-120.8181,38.8732,707,2010,1610.71,8.3,14.2,20.1,3.51,18.32
TRAV,-120.8181,38.8732,707,2011,1109.90,7.9,14.1,20.2,3.49,18.67
TRAV,-120.8181,38.8732,707,2012,1535.05,8.9,15.2,21.4,4.59,21.07
TRAV,-120.8181,38.8732,707,2013,375.85,8.9,15.4,21.9,4.90,21.40
TRAV,-120.8181,38.8732,707,2014,1178.68,10.3,16.4,22.5,5.34,22.12
TRAV,-120.8181,38.8732,707,2015,758.75,9.9,16.1,22.3,5.16,21.83
TRAV,-120.8181,38.8732,707,2016,1611.73,9.3,15.5,21.6,4.76,21.07
TRAV,-120.8181,38.8732,707,2017,1861.32,9.6,15.6,21.6,4.68,21.21
TRAV,-120.8181,38.8732,707,2018,1104.46,9.4,15.6,21.9,4.85,21.50
TRAV,-120.8181,38.8732,707,2019,1525.22,9.1,14.9,20.8,3.81,19.21
TRAV,-120.8181,38.8732,707,2020,720.90,9.9,16.2,22.5,5.41,22.95
TRAV,-120.8181,38.8732,707,2021,1174.88,10.5,16.4,22.3,4.78,23.35
TRAV,-120.8181,38.8732,707,2022,936.02,10.3,16.2,22.1,6.04,22.66
TRAV,-120.8181,38.8732,707,2023,1313.27,9.3,14.7,20.1,4.02,17.99
TRAV,-120.8181,38.8732,707,2024,1218.10,9.7,15.6,21.5,4.09,20.15
,,,,,,,,,,
BR55,-121.2733,39.1136,128,2010,898.89,9.4,15.8,22.3,2.00,19.37
BR55,-121.2733,39.1136,128,2011,602.13,8.6,15.4,22.3,1.77,19.51
BR55,-121.2733,39.1136,128,2012,938.00,9.4,16.5,23.5,2.70,22.33
BR55,-121.2733,39.1136,128,2013,192.41,8.6,16.4,24.2,2.55,23.78
BR55,-121.2733,39.1136,128,2014,698.89,10.6,17.7,24.9,2.84,24.17
BR55,-121.2733,39.1136,128,2015,322.42,10.1,17.3,24.6,2.90,23.70
BR55,-121.2733,39.1136,128,2016,765.79,10.1,16.9,23.8,2.67,22.09
BR55,-121.2733,39.1136,128,2017,934.16,10.3,17.1,23.9,2.74,22.53
BR55,-121.2733,39.1136,128,2018,737.70,9.2,16.6,24.1,2.30,22.65
BR55,-121.2733,39.1136,128,2019,980.70,9.8,16.6,23.4,2.31,21.46
BR55,-121.2733,39.1136,128,2020,299.92,9.7,17.2,24.8,2.85,24.82
BR55,-121.2733,39.1136,128,2021,679.12,10.0,17.1,24.3,3.36,24.70
BR55,-121.2733,39.1136,128,2022,447.02,9.7,17.2,24.7,3.53,25.88
BR55,-121.2733,39.1136,128,2023,739.39,10.0,16.5,23.0,2.79,21.10
BR55,-121.2733,39.1136,128,2024,773.99,11.3,17.8,24.2,3.89,23.68
,,,,,,,,,,
DC116,-121.2423,39.2290,311,2010,1188.16,9.9,15.8,21.7,2.70,18.21
DC116,-121.2423,39.2290,311,2011,799.79,9.4,15.5,21.7,2.57,18.25
DC116,-121.2423,39.2290,311,2012,1220.94,10.1,16.5,22.9,3.51,20.87
DC116,-121.2423,39.2290,311,2013,252.24,10.1,16.8,23.5,3.65,22.10
DC116,-121.2423,39.2290,311,2014,922.51,11.7,17.9,24.2,3.88,22.22
DC116,-121.2423,39.2290,311,2015,459.79,11.1,17.5,24.0,3.82,21.90
DC116,-121.2423,39.2290,311,2016,1137.07,11.1,17.1,23.2,3.55,20.36
DC116,-121.2423,39.2290,311,2017,1298.73,11.3,17.3,23.3,3.43,20.61
DC116,-121.2423,39.2290,311,2018,873.03,10.5,17.0,23.5,3.78,21.65
DC116,-121.2423,39.2290,311,2019,1203.84,10.5,16.6,22.7,3.54,20.70
DC116,-121.2423,39.2290,311,2020,447.79,11.1,17.5,24.0,4.91,23.60
DC116,-121.2423,39.2290,311,2021,877.15,10.8,17.0,23.3,4.25,22.83
DC116,-121.2423,39.2290,311,2022,610.33,11.1,17.4,23.7,5.15,23.63
DC116,-121.2423,39.2290,311,2023,919.05,10.6,16.3,21.9,3.75,19.12
DC116,-121.2423,39.2290,311,2024,1053.07,11.7,17.3,22.9,4.54,21.25
,,,,,,,,,,
DC110,-121.2442,39.2302,323,2010,1163.39,9.9,15.8,21.7,2.68,18.20
DC110,-121.2442,39.2302,323,2011,788.31,9.3,15.5,21.7,2.54,18.27
DC110,-121.2442,39.2302,323,2012,1201.22,10.1,16.5,22.9,3.52,20.92
DC110,-121.2442,39.2302,323,2013,248.03,10.0,16.8,23.5,3.65,22.12
DC110,-121.2442,39.2302,323,2014,901.17,11.6,17.9,24.2,3.87,22.25
DC110,-121.2442,39.2302,323,2015,447.58,11.1,17.5,23.9,3.78,21.89
DC110,-121.2442,39.2302,323,2016,1113.99,11.0,17.1,23.2,3.54,20.40
DC110,-121.2442,39.2302,323,2017,1282.96,11.3,17.3,23.3,3.42,20.66
DC110,-121.2442,39.2302,323,2018,857.71,10.5,17.0,23.4,3.77,21.65
DC110,-121.2442,39.2302,323,2019,1187.16,10.5,16.6,22.7,3.51,20.72
DC110,-121.2442,39.2302,323,2020,434.10,11.1,17.5,23.9,4.88,23.60
DC110,-121.2442,39.2302,323,2021,858.48,10.7,17.0,23.3,4.21,22.88
DC110,-121.2442,39.2302,323,2022,593.69,10.9,17.3,23.7,5.06,23.67
DC110,-121.2442,39.2302,323,2023,889.58,10.5,16.2,21.9,3.66,19.15
DC110,-121.2442,39.2302,323,2024,1029.00,11.7,17.3,22.9,4.53,21.23
,,,,,,,,,,
EFAR,-120.6488,39.2505,1433,2010,2347.49,6.0,10.9,15.8,4.06,14.70
EFAR,-120.6488,39.2505,1433,2011,1586.83,6.0,11.1,16.2,4.07,14.79
EFAR,-120.6488,39.2505,1433,2012,2255.51,7.2,12.4,17.6,5.40,17.19
EFAR,-120.6488,39.2505,1433,2013,600.50,7.4,12.8,18.2,5.38,17.14
EFAR,-120.6488,39.2505,1433,2014,1661.29,8.6,13.5,18.3,5.77,17.22
EFAR,-120.6488,39.2505,1433,2015,1041.18,8.4,13.4,18.4,5.64,17.23
EFAR,-120.6488,39.2505,1433,2016,2309.15,7.6,12.5,17.4,5.28,16.26
EFAR,-120.6488,39.2505,1433,2017,2727.38,7.6,12.4,17.3,5.09,16.19
EFAR,-120.6488,39.2505,1433,2018,1502.68,8.0,13.0,18.0,5.64,16.99
EFAR,-120.6488,39.2505,1433,2019,2279.42,6.8,11.5,16.2,4.43,14.35
EFAR,-120.6488,39.2505,1433,2020,933.28,8.3,13.5,18.7,6.02,18.15
EFAR,-120.6488,39.2505,1433,2021,1611.96,7.9,13.0,18.2,5.92,18.26
EFAR,-120.6488,39.2505,1433,2022,1218.36,7.4,12.8,18.3,5.56,17.63
EFAR,-120.6488,39.2505,1433,2023,1814.61,5.6,10.8,16.1,3.49,14.14
EFAR,-120.6488,39.2505,1433,2024,1736.88,6.4,11.6,16.9,4.27,15.84
,,,,,,,,,,
MON,-120.6154,39.2596,1607,2010,2425.95,5.1,9.9,14.7,3.87,13.78
MON,-120.6154,39.2596,1607,2011,1663.51,5.1,10.0,14.9,3.82,13.70
MON,-120.6154,39.2596,1607,2012,2330.90,6.3,11.4,16.4,4.95,15.88
MON,-120.6154,39.2596,1607,2013,622.68,6.5,11.7,17.0,4.98,15.95
MON,-120.6154,39.2596,1607,2014,1682.63,7.5,12.3,17.1,5.42,16.25
MON,-120.6154,39.2596,1607,2015,1075.97,7.3,12.3,17.2,5.26,16.09
MON,-120.6154,39.2596,1607,2016,2357.32,6.5,11.4,16.2,5.03,15.32
MON,-120.6154,39.2596,1607,2017,2802.55,6.6,11.4,16.2,4.76,15.21
MON,-120.6154,39.2596,1607,2018,1528.31,6.9,11.8,16.8,5.25,15.93
MON,-120.6154,39.2596,1607,2019,2306.80,5.6,10.3,15.0,4.10,13.41
MON,-120.6154,39.2596,1607,2020,950.50,7.1,12.3,17.5,5.53,17.04
MON,-120.6154,39.2596,1607,2021,1614.92,6.9,12.1,17.2,5.56,17.19
MON,-120.6154,39.2596,1607,2022,1255.18,6.6,11.8,17.1,5.34,16.40
MON,-120.6154,39.2596,1607,2023,1852.60,4.9,9.9,14.9,3.45,13.21
MON,-120.6154,39.2596,1607,2024,1785.79,5.7,10.7,15.7,4.30,14.78
,,,,,,,,,,
DC20,-121.0020,39.2679,791,2010,2038.91,6.9,12.8,18.7,2.50,16.14
DC20,-121.0020,39.2679,791,2011,1305.59,6.6,12.6,18.7,2.72,16.13
DC20,-121.0020,39.2679,791,2012,2061.23,7.6,14.0,20.4,3.76,19.32
DC20,-121.0020,39.2679,791,2013,434.53,7.4,14.1,20.8,4.04,19.74
DC20,-121.0020,39.2679,791,2014,1456.55,9.1,15.2,21.3,4.34,20.24
DC20,-121.0020,39.2679,791,2015,823.55,8.8,15.0,21.3,4.32,20.20
DC20,-121.0020,39.2679,791,2016,1844.00,7.6,14.1,20.7,3.82,19.12
DC20,-121.0020,39.2679,791,2017,2180.97,8.3,14.5,20.7,3.24,18.79
DC20,-121.0020,39.2679,791,2018,1236.84,8.3,14.7,21.0,3.94,20.01
DC20,-121.0020,39.2679,791,2019,1812.00,7.3,13.5,19.7,2.76,17.33
DC20,-121.0020,39.2679,791,2020,753.96,8.3,15.0,21.7,4.32,21.63
DC20,-121.0020,39.2679,791,2021,1278.10,8.0,14.6,21.2,4.17,21.54
DC20,-121.0020,39.2679,791,2022,930.27,8.4,15.0,21.6,4.66,22.30
DC20,-121.0020,39.2679,791,2023,1409.90,7.9,13.8,19.6,3.48,17.45
DC20,-121.0020,39.2679,791,2024,1579.00,9.2,14.9,20.6,4.52,19.67
,,,,,,,,,,
FUL,-120.6752,39.2863,1501,2010,2339.45,5.5,10.0,14.5,3.90,13.02
FUL,-120.6752,39.2863,1501,2011,1591.44,5.5,10.1,14.8,3.87,13.02
FUL,-120.6752,39.2863,1501,2012,2276.85,6.7,11.5,16.2,5.12,15.11
FUL,-120.6752,39.2863,1501,2013,609.87,6.9,12.0,17.0,5.09,15.40
FUL,-120.6752,39.2863,1501,2014,1672.01,8.0,12.5,17.1,5.55,15.75
FUL,-120.6752,39.2863,1501,2015,1050.87,7.8,12.5,17.3,5.39,15.77
FUL,-120.6752,39.2863,1501,2016,2337.71,6.9,11.5,16.0,5.12,14.55
FUL,-120.6752,39.2863,1501,2017,2747.75,7.0,11.6,16.2,4.85,14.77
FUL,-120.6752,39.2863,1501,2018,1509.64,7.3,12.0,16.7,5.34,15.27
FUL,-120.6752,39.2863,1501,2019,2314.48,6.0,10.5,15.0,4.14,12.89
FUL,-120.6752,39.2863,1501,2020,950.11,7.5,12.5,17.4,5.63,16.29
FUL,-120.6752,39.2863,1501,2021,1653.91,7.7,12.4,17.1,5.93,16.71
FUL,-120.6752,39.2863,1501,2022,1242.15,7.3,12.3,17.3,5.62,16.06
FUL,-120.6752,39.2863,1501,2023,1838.73,5.5,10.4,15.2,3.61,13.09
FUL,-120.6752,39.2863,1501,2024,1780.10,6.3,11.4,16.6,4.41,15.44
,,,,,,,,,,
DC10,-120.8865,39.2957,1048,2010,2265.74,6.3,12.2,18.0,3.05,16.86
DC10,-120.8865,39.2957,1048,2011,1460.99,6.1,12.2,18.2,3.16,16.77
DC10,-120.8865,39.2957,1048,2012,2247.43,7.3,13.5,19.7,4.52,19.71
DC10,-120.8865,39.2957,1048,2013,511.69,7.1,13.6,20.2,4.64,19.49
DC10,-120.8865,39.2957,1048,2014,1594.81,8.9,14.7,20.5,4.84,19.50
DC10,-120.8865,39.2957,1048,2015,953.18,8.4,14.5,20.6,4.63,19.62
DC10,-120.8865,39.2957,1048,2016,2143.04,7.5,13.6,19.7,4.37,18.57
DC10,-120.8865,39.2957,1048,2017,2541.50,8.0,13.9,19.8,3.89,18.53
DC10,-120.8865,39.2957,1048,2018,1400.93,7.8,14.0,20.3,4.25,19.58
DC10,-120.8865,39.2957,1048,2019,2109.32,7.1,12.9,18.7,3.41,16.82
DC10,-120.8865,39.2957,1048,2020,858.11,8.1,14.5,20.9,4.84,20.87
DC10,-120.8865,39.2957,1048,2021,1443.59,8.3,14.4,20.5,4.71,20.98
DC10,-120.8865,39.2957,1048,2022,1057.33,8.1,14.4,20.6,4.99,20.59
DC10,-120.8865,39.2957,1048,2023,1633.38,7.7,13.1,18.5,3.87,16.35
DC10,-120.8865,39.2957,1048,2024,1700.01,9.1,14.4,19.8,5.10,18.66
,,,,,,,,,,
ROCK,-120.9287,39.3010,1135,2010,2196.75,6.5,12.0,17.5,3.28,15.78
ROCK,-120.9287,39.3010,1135,2011,1431.46,6.5,12.2,17.8,3.50,15.78
ROCK,-120.9287,39.3010,1135,2012,2184.64,7.9,13.5,19.1,4.88,18.50
ROCK,-120.9287,39.3010,1135,2013,492.74,7.7,13.7,19.7,4.93,18.53
ROCK,-120.9287,39.3010,1135,2014,1550.82,9.6,14.8,19.9,5.55,18.49
ROCK,-120.9287,39.3010,1135,2015,908.17,9.1,14.6,20.1,5.27,18.67
ROCK,-120.9287,39.3010,1135,2016,2032.29,8.1,13.6,19.1,4.86,17.53
ROCK,-120.9287,39.3010,1135,2017,2421.86,8.5,13.8,19.1,4.33,17.50
ROCK,-120.9287,39.3010,1135,2018,1343.57,8.5,14.1,19.7,4.93,18.47
ROCK,-120.9287,39.3010,1135,2019,2031.36,7.6,12.9,18.1,3.79,15.73
ROCK,-120.9287,39.3010,1135,2020,831.70,8.9,14.6,20.3,5.48,19.79
ROCK,-120.9287,39.3010,1135,2021,1430.08,8.9,14.3,19.8,5.34,19.81
ROCK,-120.9287,39.3010,1135,2022,1022.10,9.1,14.5,19.9,6.07,19.44
ROCK,-120.9287,39.3010,1135,2023,1573.55,8.5,13.2,17.9,4.65,15.29
ROCK,-120.9287,39.3010,1135,2024,1673.60,9.6,14.4,19.1,5.48,16.89
,,,,,,,,,,
BR10,-120.6674,39.3089,1425,2010,2347.77,4.6,10.1,15.6,3.18,14.45
BR10,-120.6674,39.3089,1425,2011,1607.50,4.6,10.2,15.8,3.17,14.40
BR10,-120.6674,39.3089,1425,2012,2297.26,5.9,11.6,17.3,4.30,16.87
BR10,-120.6674,39.3089,1425,2013,611.70,5.7,11.8,17.9,4.36,16.95
BR10,-120.6674,39.3089,1425,2014,1676.57,7.4,12.7,18.1,4.93,17.04
BR10,-120.6674,39.3089,1425,2015,1054.55,7.0,12.7,18.3,4.70,17.17
BR10,-120.6674,39.3089,1425,2016,2327.19,6.1,11.6,17.2,4.37,16.10
BR10,-120.6674,39.3089,1425,2017,2772.01,6.3,11.7,17.2,4.05,16.10
BR10,-120.6674,39.3089,1425,2018,1507.23,6.3,12.0,17.7,4.46,16.70
BR10,-120.6674,39.3089,1425,2019,2277.12,5.3,10.7,16.1,3.48,14.20
BR10,-120.6674,39.3089,1425,2020,945.55,6.6,12.5,18.3,4.89,17.81
BR10,-120.6674,39.3089,1425,2021,1621.04,6.5,12.1,17.8,4.84,17.75
BR10,-120.6674,39.3089,1425,2022,1240.98,6.1,12.0,18.0,4.47,17.41
BR10,-120.6674,39.3089,1425,2023,1856.01,4.2,10.1,16.0,2.54,13.98
BR10,-120.6674,39.3089,1425,2024,1755.41,4.4,10.6,16.7,2.49,15.15
,,,,,,,,,,
SHADY,-121.0908,39.3327,616,2010,1521.49,8.3,14.8,21.2,3.02,19.63
SHADY,-121.0908,39.3327,616,2011,915.82,7.9,14.4,21.0,3.13,19.49
SHADY,-121.0908,39.3327,616,2012,1451.47,8.9,15.7,22.4,4.15,22.55
SHADY,-121.0908,39.3327,616,2013,333.01,8.8,16.0,23.2,4.28,23.35
SHADY,-121.0908,39.3327,616,2014,1147.25,10.2,16.9,23.6,4.48,23.52
